Date,Category,Sub Category,Sub-Sub Category,Type,Description,Amount,Department,Checker
Nov 7,Owner's Pay,Capital,,Income,Turn Over Cash,"₱15,690.20",Store,"₱15,690.20"
Nov 8,Owner's Pay,Capital,,Income,From Bank,"₱41,000.00",Store,"₱56,690.20"
Nov 8,Owner's Pay,Capital,,Income,From Bank,"₱4,500.00",Store,"₱61,190.20"
Nov 8,Cost of Goods Sold,Bar,Supplies,Expense,Cash in Pao,"₱4,500.00",Bar,"₱56,690.20"
Nov 8,Operating Expense,Utilities - Electricity,,Expense,Meralco,"₱41,653.00",Store,"₱15,037.20"
Nov 8,Owner's Pay,Capital,,Income,From Bank,"₱5,178.00",Store,"₱20,215.20"
Nov 8,Payroll Expense,Service Charge,,Expense,Staff SC,"₱5,178.00",Store,"₱15,037.20"
Nov 8,Sales,Sales,,Income,Sales,"₱8,251.58",Store,"₱23,288.78"
Nov 8,Uncategorized,,,Expense,Expense,"₱1,245.00",Store,"₱22,043.78"
Nov 9,Sales,Sales,,Income,Sales,"₱5,341.09",Store,"₱27,384.87"
Nov 9,Office Expense,Office Supplies,,Expense,Silicon,₱450.00,Store,"₱26,934.87"
Nov 9,Cost of Goods Sold,Bar,Packaging,Expense,Microwavable (Topperware),₱952.00,Dinning,"₱25,982.87"
Nov 9,Operating Expense,Uniform,,Expense,Apron,₱310.00,Bar,"₱25,672.87"
Nov 11,Sales,Sales,Sales,Income,Sales,"₱2,373.27",Store,"₱28,046.14"
Nov 11,Office Expense,Office Supplies,,Expense,Scissors,₱65.00,Store,"₱27,981.14"
Nov 11,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱27,761.14"
Nov 11,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱8,901.71",Kitchen,"₱18,859.43"
Nov 11,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Purchase Order Staff Meal,₱632.00,Kitchen Staff Meal,"₱18,227.43"
Nov 11,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱7,664.00",Bakery,"₱10,563.43"
Nov 11,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,"₱3,887.29",Bar,"₱6,676.14"
Nov 11,Operating Expense,Utilities,Gas,Expense,Purchase Order Gas ,"₱1,300.00",Store,"₱5,376.14"
Nov 11,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Total Parking ,₱100.00,Store,"₱5,276.14"
Nov 12,Sales,Sales,,Income,Sales,"₱5,079.96",Store,"₱10,356.10"
Nov 12,Operating Expense,Utilities,Gas,Expense,Butane ,₱59.00,Kitchen,"₱10,297.10"
Nov 12,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Flame Gun,₱295.00,Kitchen,"₱10,002.10"
Nov 12,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱9,852.10"
Nov 13,Sales,Sales,Sales,Income,Sales,"₱3,628.69",Store,"₱13,480.79"
Nov 14,Sales,Sales,Sales,Income,Sales,"₱5,364.74",Store,"₱18,845.53"
Nov 14,Government Fees,Legal Expense,,Expense,BIR Payment,"₱1,400.00",Store,"₱17,445.53"
Nov 14,Uncategorized,,,Expense,SM Grocery,₱300.00,,"₱17,145.53"
Nov 14,Payroll Expense,Service Charge Distribution,,Expense,SC Carol,"₱4,145.00",Store,"₱13,000.53"
Nov 14,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Coffee Cups,"₱4,950.00",Bar,"₱8,050.53"
Nov 14,Operating Expense,Repairs & Maintenance,Equipment Repairs,Expense,Donnie Elec. Fan+Gulay,₱404.00,Kitchen,"₱7,646.53"
Nov 14,Cost of Goods Sold,Kitchen,Supplies,Expense,Knorr Cubes,₱40.00,Kitchen,"₱7,606.53"
Nov 14,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Slicer,₱750.00,Kitchen,"₱6,856.53"
Nov 15,Sales,Sales,Sales,Income,Sales,"₱8,169.54",Store,"₱15,026.07"
Nov 15,Payroll Expense,Employee Payroll,,Expense,Expense (salary),"₱14,016.96",Store,"₱1,009.11"
Nov 15,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱220.00,Bar,₱789.11
Nov 15,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱180.00,Bar,₱609.11
Nov 16,Sales,Sales,Sales,Income,Sales,"₱9,121.67",Store,"₱9,730.78"
Nov 16,Payroll Expense,Employee Payroll,,Expense,Salry (Paul),"₱5,409.70",Store,"₱4,321.08"
Nov 16,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Sinigang Mix,₱60.00,Kitchen,"₱4,261.08"
Nov 17,Sales,Sales,Sales,Income,Sales,"₱7,558.00",Store,"₱11,819.08"
Nov 17,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱147.00,Bar,"₱11,672.08"
Nov 17,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Shoppee Boba Straw,₱101.00,Bar,"₱11,571.08"
Nov 17,Cost of Goods Sold,Bar,Supplies,Expense,Shoppee Trial,₱67.00,Bar,"₱11,504.08"
Nov 17,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Vegetables,₱100.00,Kitchen,"₱11,404.08"
Nov 18,Sales,Sales,Sales,Income,Sales,"₱12,457.58",Store,"₱23,861.66"
Nov 18,Operating Expense,Repairs & Maintenance,Small Equipment,Expense,Carpet & Door Lock,₱225.00,Store,"₱23,636.66"
